"journal_name","issn","e_issn","category","edition","total_citations","impact_factor_2023","jif_quartile","jci_2023","percent_oa_gold"
"Joule","2542-4351","2542-4351","('CHEMISTRY, PHYSICAL', 'ENERGY & FUELS', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('SCIE', 'SCIE', 'SCIE')","38,070","38.6","('Q1', 'Q1', 'Q1')","4.41","74.39"
"Nature Nanotechnology","1748-3387","1748-3395","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE')","76,128","38.1","('Q1', 'Q1')","5.15","11.20"
"Nature Reviews Chemistry","","2397-3358","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","12,247","38.1","Q1","2.61","3.85"
"EUROPEAN HEART JOURNAL","0195-668X","1522-9645","CARDIAC & CARDIOVASCULAR SYSTEMS","('SCIE',)","84,437","37.6","Q1","7.74","42.36"
"MMWR Surveillance Summaries","1545-8636","1545-8636","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('SCIE',)","3,442","37.3","Q1","8.49","72.41"
"NATURE MATERIALS","1476-1122","1476-4660","('CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'PHYSICS, APPLIED', 'PHYSICS, CONDENSED MATTER')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","108,002","37.2","('Q1', 'Q1', 'Q1', 'Q1')","6.43","10.78"
"LANCET INFECTIOUS DISEASES","1473-3099","1474-4457","INFECTIOUS DISEASES","('SCIE',)","41,047","36.4","Q1","8.48","31.71"
"NATURE METHODS","1548-7091","1548-7105","BIOCHEMICAL RESEARCH METHODS","('SCIE',)","112,995","36.1","Q1","10.09","33.54"
"CIRCULATION","0009-7322","1524-4539","('CARDIAC & CARDIOVASCULAR SYSTEMS', 'PERIPHERAL VASCULAR DISEASE')","('SCIE', 'SCIE')","173,789","35.5","('Q1', 'Q1')","8.42","28.34"
"ADVANCES IN PHYSICS","0001-8732","1460-6976","PHYSICS, CONDENSED MATTER","('SCIE',)","5,882","35.0","Q1","2.07","0.00"
"IEEE Communications Surveys and Tutorials","","1553-877X","('COMPUTER SCIENCE, INFORMATION SYSTEMS', 'TELECOMMUNICATIONS')","('SCIE', 'SCIE')","27,842","34.4","('Q1', 'Q1')","9.38","24.68"
"Nature Electronics","2520-1131","2520-1131","ENGINEERING, ELECTRICAL & ELECTRONIC","('SCIE',)","15,284","33.7","Q1","5.94","11.99"
"PROGRESS IN MATERIALS SCIENCE","0079-6425","1873-2208","MATERIALS SCIENCE, MULTIDISCIPLINARY","('SCIE',)","29,821","33.6","Q1","2.39","21.33"
"Innovation","2666-6758","2666-6758","MULTIDISCIPLINARY SCIENCES","('ESCI',)","5,342","33.2","Q1","4.53","88.72"
"NATURE BIOTECHNOLOGY","1087-0156","1546-1696","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","('SCIE',)","90,606","33.1","Q1","8.38","36.18"
"Energy & Environmental Science","1754-5692","1754-5706","('CHEMISTRY, MULTIDISCIPLINARY', 'ENERGY & FUELS', 'ENGINEERING, CHEMICAL', 'ENVIRONMENTAL SCIENCES')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","110,768","32.4","('Q1', 'Q1', 'Q1', 'Q1')","4.39","20.18"
"Nature Photonics","1749-4885","1749-4893","('OPTICS', 'PHYSICS, APPLIED')","('SCIE', 'SCIE')","54,824","32.3","('Q1', 'Q1')","7.85","16.52"
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","0360-1285","1873-216X","('ENERGY & FUELS', 'ENGINEERING, CHEMICAL', 'ENGINEERING, MECHANICAL', 'THERMODYNAMICS')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","17,065","32.0","('Q1', 'Q1', 'Q1', 'Q1')","2.32","44.12"
"NATURE GENETICS","1061-4036","1546-1718","GENETICS & HEREDITY","('SCIE',)","104,387","31.7","Q1","8.81","35.62"
"Nano-Micro Letters","2311-6706","2150-5551","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY', 'PHYSICS, APPLIED')","('SCIE', 'SCIE', 'SCIE')","24,745","31.6","('Q1', 'Q1', 'Q1')","4.58","99.85"
"MATERIALS SCIENCE & ENGINEERING R-REPORTS","0927-796X","1879-212X","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'PHYSICS, APPLIED')","('SCIE', 'SCIE')","9,807","31.6","('Q1', 'Q1')","2.03","29.87"
"Nature Reviews Endocrinology","1759-5029","1759-5037","ENDOCRINOLOGY & METABOLISM","('SCIE',)","20,965","31.0","Q1","4.86","4.58"
"Lancet Gastroenterology & Hepatology","","2468-1253","GASTROENTEROLOGY & HEPATOLOGY","('SCIE',)","13,312","30.9","Q1","6.52","15.28"
"Lancet Psychiatry","2215-0374","","PSYCHIATRY","('SCIE', 'SSCI')","19,411","30.8","Q1","8.64","27.31"
"Physiological Reviews","0031-9333","1522-1210","PHYSIOLOGY","('SCIE',)","36,950","29.9","Q1","4.62","13.38"
"Cancer Discovery","2159-8274","2159-8290","ONCOLOGY","('SCIE',)","33,545","29.7","Q1","6.62","36.96"
"Nature Climate Change","1758-678X","1758-6798","('ENVIRONMENTAL SCIENCES', 'ENVIRONMENTAL STUDIES', 'METEOROLOGY & ATMOSPHERIC SCIENCES')","('SCIE', 'SSCI', 'SCIE')","46,843","29.6","('Q1', 'Q1', 'Q1')","5.51","23.41"
"Journal of Hematology & Oncology","","1756-8722","('HEMATOLOGY', 'ONCOLOGY')","('SCIE', 'SCIE')","22,387","29.5","('Q1', 'Q1')","4.16","99.70"
"Nature Reviews Rheumatology","1759-4790","1759-4804","RHEUMATOLOGY","('SCIE',)","15,825","29.4","Q1","5.50","2.76"
"NATURE REVIEWS NEUROSCIENCE","1471-003X","1471-0048","NEUROSCIENCES","('SCIE',)","46,285","28.7","Q1","4.28","1.46"
"Advanced Powder Materials","","2772-834X","MATERIALS SCIENCE, MULTIDISCIPLINARY","('ESCI',)","1,723","28.6","Q1","8.38","97.56"
"Nature Reviews Nephrology","1759-5061","1759-507X","UROLOGY & NEPHROLOGY","('SCIE',)","16,046","28.6","Q1","6.93","4.05"
"Annual Review of Pathology-Mechanisms of Disease","1553-4006","1553-4014","PATHOLOGY","('SCIE',)","8,517","28.4","Q1","6.49","36.92"
"Electrochemical Energy Reviews","2520-8489","2520-8136","ELECTROCHEMISTRY","('SCIE',)","4,343","28.4","Q1","1.92","29.90"
"Nature Reviews Neurology","1759-4758","1759-4766","CLINICAL NEUROLOGY","('SCIE',)","19,986","28.2","Q1","5.97","1.46"
"CELL RESEARCH","1001-0602","1748-7838","CELL BIOLOGY","('SCIE',)","27,759","28.1","Q1","3.64","62.42"
"ASTRONOMY AND ASTROPHYSICS REVIEW","0935-4956","1432-0754","ASTRONOMY & ASTROPHYSICS","('SCIE',)","2,942","27.8","Q1","3.63","68.18"
"Cell Metabolism","1550-4131","1932-7420","('CELL BIOLOGY', 'ENDOCRINOLOGY & METABOLISM')","('SCIE', 'SCIE')","58,139","27.7","('Q1', 'Q1')","5.43","81.03"
"Molecular Cancer","","1476-4598","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'ONCOLOGY')","('SCIE', 'SCIE')","36,560","27.7","('Q1', 'Q1')","5.26","100.00"
"NATURE IMMUNOLOGY","1529-2908","1529-2916","IMMUNOLOGY","('SCIE',)","54,409","27.7","Q1","5.19","22.49"
"ADVANCED MATERIALS","0935-9648","1521-4095","('CHEMISTRY, MULTIDISCIPLINARY', 'CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY', 'PHYSICS, APPLIED', 'PHYSICS, CONDENSED MATTER')","('SCIE', 'SCIE', 'SCIE', 'SCIE', 'SCIE', 'SCIE')","392,263","27.4","('Q1', 'Q1', 'Q1', 'Q1', 'Q1', 'Q1')","4.09","18.14"
"eLight","2097-1710","2662-8643","OPTICS","('ESCI',)","1,077","27.2","Q1","7.08","100.00"
"INTENSIVE CARE MEDICINE","0342-4642","1432-1238","CRITICAL CARE MEDICINE","('SCIE',)","30,470","27.1","Q1","4.55","37.75"
"Annual Review of Immunology","0732-0582","1545-3278","IMMUNOLOGY","('SCIE',)","18,947","26.9","Q1","3.01","35.53"
"JOURNAL OF HEPATOLOGY","0168-8278","1600-0641","GASTROENTEROLOGY & HEPATOLOGY","('SCIE',)","62,886","26.8","Q1","5.97","41.81"
"Nature Biomedical Engineering","2157-846X","2157-846X","ENGINEERING, BIOMEDICAL","('SCIE',)","16,578","26.8","Q1","5.32","16.57"
"Living Reviews in Relativity","2367-3613","1433-8351","PHYSICS, PARTICLES & FIELDS","('SCIE',)","3,904","26.3","Q1","3.91","100.00"
"Annual Review of Astronomy and Astrophysics","0066-4146","1545-4282","ASTRONOMY & ASTROPHYSICS","('SCIE',)","15,350","26.3","Q1","3.80","34.29"
"Science Robotics","2470-9476","2470-9476","ROBOTICS","('SCIE',)","11,700","26.1","Q1","5.66","0.00"
"PROGRESS IN POLYMER SCIENCE","0079-6700","1873-1619","POLYMER SCIENCE","('SCIE',)","27,463","26.0","Q1","2.16","23.87"
"Gastroenterology","0016-5085","1528-0012","GASTROENTEROLOGY & HEPATOLOGY","('SCIE',)","90,123","25.7","Q1","5.63","40.41"
"Nature Sustainability","2398-9629","2398-9629","('ENVIRONMENTAL SCIENCES', 'ENVIRONMENTAL STUDIES', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY')","('SCIE', 'SSCI', 'SSCI')","18,380","25.7","('Q1', 'Q1', 'Q1')","4.51","19.28"
"Immunity","1074-7613","1097-4180","IMMUNOLOGY","('SCIE',)","72,423","25.5","Q1","4.86","73.29"
"Lancet Public Health","2468-2667","2468-2667","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('SCIE', 'SSCI')","10,780","25.4","Q1","9.35","80.80"
"MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT","0149-2195","1545-861X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('SCIE',)","33,589","25.4","Q1","8.94","62.89"
"Annual Review of Fluid Mechanics","0066-4189","1545-4479","('MECHANICS', 'PHYSICS, FLUIDS & PLASMAS')","('SCIE', 'SCIE')","16,085","25.4","('Q1', 'Q1')","2.92","42.86"
"EUROPEAN UROLOGY","0302-2838","1873-7560","UROLOGY & NEPHROLOGY","('SCIE',)","36,311","25.3","Q1","6.66","35.55"
"REVIEWS OF GEOPHYSICS","8755-1209","1944-9208","GEOCHEMISTRY & GEOPHYSICS","('SCIE',)","16,520","25.2","Q1","3.00","55.93"
"Advances in Optics and Photonics","1943-8206","","OPTICS","('SCIE',)","4,110","25.2","Q1","2.98","35.14"
"JAMA Pediatrics","2168-6203","2168-6211","PEDIATRICS","('SCIE',)","18,881","24.7","Q1","7.79","20.20"
"FUNGAL DIVERSITY","1560-2745","1878-9129","MYCOLOGY","('SCIE',)","6,411","24.5","Q1","6.03","30.51"
"Interdisciplinary Materials","2767-4401","2767-441X","('CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'PHYSICS, APPLIED')","('ESCI', 'ESCI', 'ESCI')","875","24.5","('Q1', 'Q1', 'Q1')","2.93","95.45"
"Advanced Energy Materials","1614-6832","1614-6840","('CHEMISTRY, PHYSICAL', 'ENERGY & FUELS', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'PHYSICS, APPLIED', 'PHYSICS, CONDENSED MATTER')","('SCIE', 'SCIE', 'SCIE', 'SCIE', 'SCIE')","131,887","24.4","('Q1', 'Q1', 'Q1', 'Q1', 'Q1')","3.60","18.53"
"Lancet Planetary Health","","2542-5196","('ENVIRONMENTAL SCIENCES', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH')","('SCIE', 'SCIE, SSCI')","8,325","24.1","('Q1', 'Q1')","4.56","77.43"
"PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS","0370-1573","1873-6270","PHYSICS, MULTIDISCIPLINARY","('SCIE',)","33,664","23.9","Q1","2.85","42.68"
"Lancet Digital Health","","2589-7500","('MEDICAL INFORMATICS', 'MEDICINE, GENERAL & INTERNAL')","('SCIE', 'SCIE')","6,727","23.8","('Q1', 'Q1')","5.10","79.26"
"ACM COMPUTING SURVEYS","0360-0300","1557-7341","COMPUTER SCIENCE, THEORY & METHODS","('SCIE',)","23,965","23.8","Q1","5.05","3.00"
"iMeta","2770-5986","2770-596X","MICROBIOLOGY","('ESCI',)","1,330","23.7","Q1","4.08","93.48"
"Annual Review of Psychology","0066-4308","1545-2085","('PSYCHOLOGY', 'PSYCHOLOGY, MULTIDISCIPLINARY')","('SCIE', 'SSCI')","27,556","23.6","('Q1', 'Q1')","4.22","30.77"
"Nature Food","","2662-1355","FOOD SCIENCE & TECHNOLOGY","('SCIE',)","7,059","23.6","Q1","4.02","19.71"
"Nature Cancer","","2662-1347","ONCOLOGY","('SCIE',)","6,853","23.5","Q1","4.87","28.57"
"PROCEEDINGS OF THE IEEE","0018-9219","1558-2256","ENGINEERING, ELECTRICAL & ELECTRONIC","('SCIE',)","40,844","23.2","Q1","4.40","37.89"
"Advanced Composites and Hybrid Materials","2522-0128","2522-0136","('MATERIALS SCIENCE, COMPOSITES', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE')","11,325","23.2","('Q1', 'Q1')","3.23","4.01"
"GUT","0017-5749","1468-3288","GASTROENTEROLOGY & HEPATOLOGY","('SCIE',)","61,677","23.0","Q1","5.87","48.27"
"Living Reviews in Solar Physics","2367-3648","1614-4961","ASTRONOMY & ASTROPHYSICS","('SCIE',)","2,090","23.0","Q1","2.97","100.00"
"InfoMat","","2567-3165","MATERIALS SCIENCE, MULTIDISCIPLINARY","('SCIE',)","6,530","22.7","Q1","2.48","88.84"
"JAMA Internal Medicine","2168-6106","2168-6114","MEDICINE, GENERAL & INTERNAL","('SCIE',)","24,993","22.5","Q1","4.88","19.71"
"JAMA Oncology","2374-2437","2374-2445","ONCOLOGY","('SCIE',)","28,299","22.5","Q1","4.87","24.40"
"JAMA Psychiatry","2168-622X","2168-6238","PSYCHIATRY","('SCIE', 'SSCI')","22,206","22.5","Q1","4.37","29.00"
"EnergyChem","2589-7780","2589-7780","('CHEMISTRY, MULTIDISCIPLINARY', 'ENERGY & FUELS', 'ENGINEERING, CHEMICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('ESCI', 'ESCI', 'ESCI', 'ESCI')","2,235","22.2","('Q1', 'Q1', 'Q1', 'Q1')","2.81","6.35"
"ENDOCRINE REVIEWS","0163-769X","1945-7189","ENDOCRINOLOGY & METABOLISM","('SCIE',)","17,365","22.0","Q1","3.17","51.67"
"Cellular & Molecular Immunology","1672-7681","2042-0226","IMMUNOLOGY","('SCIE',)","14,443","21.8","Q1","2.29","49.31"
"JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY","0735-1097","1558-3597","CARDIAC & CARDIOVASCULAR SYSTEMS","('SCIE',)","115,262","21.7","Q1","5.15","71.49"
"Nature Human Behaviour","2397-3374","2397-3374","('MULTIDISCIPLINARY SCIENCES', 'NEUROSCIENCES', 'PSYCHOLOGY, EXPERIMENTAL')","('SCIE', 'SCIE', 'SSCI')","14,996","21.4","('Q1', 'Q1', 'Q1')","6.21","22.10"
"Annual Review of Public Health","0163-7525","1545-2093","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('SCIE', 'SSCI')","10,648","21.4","Q1","3.32","85.90"
"Annual Review of Plant Biology","1543-5008","1545-2123","PLANT SCIENCES","('SCIE',)","23,058","21.3","Q1","2.64","37.93"
"NATURE NEUROSCIENCE","1097-6256","1546-1726","NEUROSCIENCES","('SCIE',)","69,714","21.2","Q1","5.85","25.53"
"Materials Today","1369-7021","1873-4103","MATERIALS SCIENCE, MULTIDISCIPLINARY","('SCIE',)","27,880","21.1","Q1","3.40","24.16"
"Journal of Thoracic Oncology","1556-0864","1556-1380","('ONCOLOGY', 'RESPIRATORY SYSTEM')","('SCIE', 'SCIE')","25,813","21.0","('Q1', 'Q1')","4.26","83.71"
"BLOOD","0006-4971","1528-0020","HEMATOLOGY","('SCIE',)","168,059","21.0","Q1","3.53","26.77"
"Lancet Microbe","","2666-5247","('INFECTIOUS DISEASES', 'MICROBIOLOGY')","('SCIE', 'SCIE')","4,532","20.9","('Q1', 'Q1')","4.47","74.46"
"IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE","0162-8828","1939-3539","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE', 'ENGINEERING, ELECTRICAL & ELECTRONIC')","('SCIE', 'SCIE')","84,194","20.8","('Q1', 'Q1')","5.70","9.87"
"Cell Host & Microbe","1931-3128","1934-6069","('MICROBIOLOGY', 'PARASITOLOGY', 'VIROLOGY')","('SCIE', 'SCIE', 'SCIE')","30,964","20.6","('Q1', 'Q1', 'Q1')","6.15","82.49"
"Light-Science & Applications","2095-5545","2047-7538","OPTICS","('SCIE',)","22,595","20.6","Q1","5.22","100.00"
"Advanced Photonics","","2577-5421","OPTICS","('SCIE',)","2,615","20.6","Q1","3.39","100.00"
"Nature Microbiology","2058-5276","2058-5276","MICROBIOLOGY","('SCIE',)","23,267","20.5","Q1","5.86","38.39"
"JAMA Neurology","2168-6149","2168-6157","CLINICAL NEUROLOGY","('SCIE',)","20,770","20.4","Q1","7.19","30.34"
"ANNALS OF THE RHEUMATIC DISEASES","0003-4967","1468-2060","RHEUMATOLOGY","('SCIE',)","52,707","20.3","Q1","5.09","45.23"
"COORDINATION CHEMISTRY REVIEWS","0010-8545","1873-3840","CHEMISTRY, INORGANIC & NUCLEAR","('SCIE',)","58,574","20.3","Q1","1.58","10.82"
"Journal of Bioresources and Bioproducts","2097-2415","2369-9698","MATERIALS SCIENCE, PAPER & WOOD","('ESCI',)","2,006","20.2","Q1","7.25","97.92"
"Applied Catalysis B-Environment and Energy","0926-3373","1873-3883","('CHEMISTRY, PHYSICAL', 'ENGINEERING, CHEMICAL', 'ENGINEERING, ENVIRONMENTAL')","('SCIE', 'SCIE', 'SCIE')","162,514","20.2","('Q1', 'Q1', 'Q1')","2.99","9.57"
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","0268-4012","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE","('SSCI',)","20,325","20.1","Q1","5.74","24.85"
"Cancer Communications","","2523-3548","ONCOLOGY","('SCIE',)","5,020","20.1","Q1","3.06","65.32"
"Lancet Child & Adolescent Health","2352-4642","2352-4642","PEDIATRICS","('SCIE',)","7,476","19.9","Q1","10.06","24.51"
"Lancet Global Health","2214-109X","2214-109X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('SCIE', 'SSCI')","22,827","19.9","Q1","6.28","73.79"
"Cell Stem Cell","1934-5909","1875-9777","('CELL & TISSUE ENGINEERING', 'CELL BIOLOGY')","('SCIE', 'SCIE')","30,699","19.8","('Q1', 'Q1')","4.35","82.67"
"ANNALS OF INTERNAL MEDICINE","0003-4819","1539-3704","MEDICINE, GENERAL & INTERNAL","('SCIE',)","64,849","19.6","Q1","4.45","0.44"
"Carbon Energy","","2637-9368","('CHEMISTRY, PHYSICAL', 'ENERGY & FUELS', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","5,024","19.5","('Q1', 'Q1', 'Q1', 'Q1')","2.29","90.81"
"AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE","1073-449X","1535-4970","('CRITICAL CARE MEDICINE', 'RESPIRATORY SYSTEM')","('SCIE', 'SCIE')","67,296","19.3","('Q1', 'Q1')","4.11","25.57"
"Kidney International Supplements","2157-1724","2157-1716","UROLOGY & NEPHROLOGY","('SCIE',)","3,049","19.3","Q1","4.10","40.00"
"ACADEMY OF MANAGEMENT REVIEW","0363-7425","1930-3807","('BUSINESS', 'MANAGEMENT')","('SSCI', 'SSCI')","40,929","19.3","('Q1', 'Q1')","3.43","0.00"
"PHARMACOLOGICAL REVIEWS","0031-6997","1521-0081","PHARMACOLOGY & PHARMACY","('SCIE',)","12,604","19.3","Q1","2.89","44.95"
"ACS Energy Letters","2380-8195","2380-8195","('CHEMISTRY, PHYSICAL', 'ELECTROCHEMISTRY', 'ENERGY & FUELS', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE', 'SCIE', 'SCIE', 'SCIE')","55,559","19.3","('Q1', 'Q1', 'Q1', 'Q1', 'Q1')","2.82","11.57"
"Nature Chemistry","1755-4330","1755-4349","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","42,489","19.2","Q1","3.49","16.33"
