"","Rank","Title","Type","SJR","SJR.Best.Quartile","H.index","Total.Docs...2016.","Total.Docs...3years.","Total.Refs.","Total.Cites..3years.","Citable.Docs...3years.","Cites...Doc...2years.","Ref....Doc.","Country","Categories","ISSN","ISSN.1","ISSN.2"
"16",25,"New England Journal of Medicine","journal",15.736,"Q1",862,2093,6005,16530,76513,2373,33.9,7.9,"United States","Medicine (miscellaneous) (Q1)","00284793; 15334406","00284793","15334406"
"17",29,"Nature Reviews Microbiology","journal",14.736,"Q1",221,163,581,6741,5854,239,23.9,41.36,"United Kingdom","Immunology and Microbiology (miscellaneous)  (Q1)","17401526","17401526",""
"18",30,"Nature Immunology","journal",14.466,"Q1",323,224,707,9749,8471,503,16.1,43.52,"United Kingdom","Immunology (Q1)","15292908; 15292916","15292908","15292916"
"19",33,"Nature Medicine","journal",14.205,"Q1",468,285,1119,9997,15985,804,21.03,35.08,"United Kingdom","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","10788956","10788956",""
"20",35,"Nature Neuroscience","journal",14.096,"Q1",347,228,984,10875,12832,815,15.38,47.7,"United Kingdom","Neuroscience (miscellaneous) (Q1)","10976256","10976256",""
"21",38,"Science","journal",13.535,"Q1",978,2079,6670,36734,95502,4720,19.58,17.67,"United States","History and Philosophy of Science (Q1); Multidisciplinary (Q1)","00368075","00368075",""
"22",39,"Cell Stem Cell","journal",13.515,"Q1",183,220,599,6747,8247,542,14.66,30.67,"United States","Cell Biology (Q1); Genetics (Q1); Molecular Medicine (Q1)","19345909","19345909",""
"23",42,"Molecular Cell","journal",13.295,"Q1",334,409,1189,17470,14266,1107,12.64,42.71,"United States","Cell Biology (Q1); Molecular Biology (Q1)","10974164; 10972765","10974164","10972765"
"24",46,"Cancer Cell","journal",13.169,"Q1",271,217,569,7418,9095,525,17.81,34.18,"United States","Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)","15356108","15356108",""
"25",47,"Annual Review of Neuroscience","book serie",13.113,"Q1",209,19,70,2885,1141,70,16.04,151.84,"United States","Neuroscience (miscellaneous) (Q1)","15454126; 0147006X","15454126","0147006X"
"26",49,"Annual Review of Pathology: Mechanisms of Disease","book serie",12.833,"Q1",94,23,54,4146,1276,54,26.29,180.26,"United States","Medicine (miscellaneous) (Q1); Plant Science (Q1)","15534006; 15534014","15534006","15534014"
"27",52,"The Lancet","journal",12.467,"Q1",646,1921,5947,28467,40525,1505,25.79,14.82,"United Kingdom","Medicine (miscellaneous) (Q1)","01406736; 1474547X","01406736","1474547X"
"28",53,"Annual Review of Cell and Developmental Biology","book serie",12.45,"Q1",194,29,83,4351,1289,82,15.03,150.03,"United States","Cell Biology (Q1); Developmental Biology (Q1)","15308995; 10810706","15308995","10810706"
"29",56,"Genome Research","journal",12.249,"Q1",248,162,566,9396,6687,553,12.12,58,"United States","Genetics (Q1); Genetics (clinical) (Q1)","15495469; 10889051","15495469","10889051"
"30",60,"Nature Reviews Drug Discovery","journal",11.894,"Q1",261,274,720,8837,6963,277,23.74,32.25,"United Kingdom","Drug Discovery (Q1); Pharmacology (Q1)","14741776","14741776",""
"31",61,"Journal of the American College of Cardiology","journal",11.488,"Q1",369,1036,3308,21683,26158,1452,16.94,20.93,"Netherlands","Cardiology and Cardiovascular Medicine (Q1)","07351097","07351097",""
"32",62,"Cell Metabolism","journal",11.209,"Q1",186,257,711,10070,9242,637,13.24,39.18,"United States","Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1)","15504131","15504131",""
"33",63,"Neuron","journal",11.116,"Q1",396,524,1576,26261,17352,1468,11.04,50.12,"United States","Neuroscience (miscellaneous) (Q1)","08966273","08966273",""
"34",64,"The Lancet Neurology","journal",11.056,"Q1",227,301,827,7561,7854,309,23.93,25.12,"United Kingdom","Neurology (clinical) (Q1)","14744422","14744422",""
"35",66,"Nature Structural and Molecular Biology","journal",10.947,"Q1",234,181,664,8486,6168,577,10.23,46.88,"United Kingdom","Molecular Biology (Q1); Structural Biology (Q1)","15459985; 15459993","15459985","15459993"
"36",70,"Genome Biology","journal",10.484,"Q1",188,264,816,12633,8955,739,11.05,47.85,"United Kingdom","Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)","14747596","14747596",""
"37",74,"Trends in Cell Biology","journal",10.113,"Q1",204,104,271,7750,3228,244,14.53,74.52,"Netherlands","Cell Biology (Q1)","09628924","09628924",""
"38",75,"Genes and Development","journal",10.106,"Q1",390,225,703,13967,6827,672,9.39,62.08,"United States","Developmental Biology (Q1); Genetics (Q1)","15495477; 08909369","15495477","08909369"
"39",76,"Clinical Microbiology Reviews","journal",10.019,"Q1",224,30,118,7542,2589,114,21.17,251.4,"United States","Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)","08938512; 10986618","08938512","10986618"
"40",77,"Journal of Experimental Medicine","journal",10,"Q1",386,188,674,9569,6828,568,11.44,50.9,"United States","Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)","00221007","00221007",""
"41",79,"Annual Review of Physiology","journal",9.961,"Q1",179,24,84,3528,1252,81,11.12,147,"United States","Physiology (Q1)","15451585; 00664278","15451585","00664278"
"42",80,"Microbiology and Molecular Biology Reviews","journal",9.804,"Q1",213,39,73,11167,1251,71,15.07,286.33,"United States","Immunology and Microbiology (miscellaneous)  (Q1); Molecular Biology (Q1)","10922172","10922172",""
"43",82,"Trends in Biochemical Sciences","journal",9.696,"Q1",241,114,255,6982,2935,222,14.48,61.25,"Netherlands","Biochemistry (Q1); Molecular Biology (Q1)","01677640; 09680004","01677640","09680004"
"44",85,"Nature Protocols","journal",9.413,"Q1",177,156,548,7068,6682,523,10.17,45.31,"United Kingdom","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)","17542189","17542189",""
"45",88,"Psychological Bulletin","journal",8.998,"Q1",246,50,178,11238,2461,145,15.64,224.76,"United States","History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)","00332909","00332909",""
"46",92,"JAMA Psychiatry","journal",8.831,"Q1",318,260,655,6760,6079,417,14.1,26,"United States","Arts and Humanities (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)","2168622X; 21686238","2168622X","21686238"
"47",93,"Nature Chemical Biology","journal",8.778,"Q1",162,209,620,6950,5775,449,12.9,33.25,"United Kingdom","Cell Biology (Q1); Molecular Biology (Q1)","15524469; 15524450","15524469","15524450"
"48",96,"The Lancet Diabetes and Endocrinology","journal",8.625,"Q1",48,297,690,5702,3497,189,19.43,19.2,"Netherlands","Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)","22138587","22138587",""
"49",97,"Science Translational Medicine","journal",8.595,"Q1",121,455,1630,11828,11693,856,13.02,26,"United States","Medicine (miscellaneous) (Q1)","19466242; 19466234","19466242","19466234"
"50",99,"Circulation","journal",8.534,"Q1",538,871,2851,27442,23772,1661,14.84,31.51,"United States","Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1)","00097322; 15244539","00097322","15244539"
"51",101,"Molecular Systems Biology","journal",8.366,"Q1",113,47,229,2576,1870,211,8.05,54.81,"United States","Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)","17444292","17444292",""
"52",103,"Cell Host and Microbe","journal",8.338,"Q1",124,211,555,8377,5460,537,10.19,39.7,"United States","Cancer Research (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Molecular Biology (Q1)","19313128","19313128",""
"53",109,"Journal of Clinical Investigation","journal",8.074,"Q1",426,434,1624,23893,17718,1459,11.23,55.05,"United States","Medicine (miscellaneous) (Q1)","00219738","00219738",""
"54",113,"Cell Reports","journal",8.012,"Q1",77,1099,2052,50909,16919,1944,8.4,46.32,"United States","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)","22111247","22111247",""
"55",119,"Pharmacological Reviews","journal",7.827,"Q1",198,23,100,9224,1821,96,17.9,401.04,"United States","Molecular Medicine (Q1); Pharmacology (Q1)","15210081; 00316997","15210081","00316997"
"56",121,"Trends in Genetics","journal",7.767,"Q1",198,80,257,6479,2289,216,10.41,80.99,"Netherlands","Genetics (Q1)","01689525","01689525",""
"57",128,"FEMS Microbiology Reviews","journal",7.535,"Q1",167,42,154,6528,2041,143,11.83,155.43,"United Kingdom","Infectious Diseases (Q1); Microbiology (Q1)","01686445","01686445",""
"58",130,"Trends in Immunology","journal",7.452,"Q1",196,95,269,6889,2832,245,11.06,72.52,"Netherlands","Immunology (Q1); Immunology and Allergy (Q1)","14714981; 14714906","14714981","14714906"
"59",131,"Annual Review of Microbiology","journal",7.415,"Q1",165,24,84,3036,957,83,9.92,126.5,"United States","Microbiology (Q1)","15453251; 00664227","15453251","00664227"
"60",132,"Nucleic Acids Research","journal",7.397,"Q1",414,1041,4415,56938,40647,4351,9.23,54.7,"United Kingdom","Genetics (Q1)","13624962; 03051048","13624962","03051048"
"61",134,"Journal of the American Chemical Society","journal",7.368,"Q1",486,2428,8052,135597,105838,7874,13.51,55.85,"United States","Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1)","00027863; 15205126","00027863","15205126"
"62",137,"Annual Review of Medicine","journal",7.303,"Q1",137,33,98,2712,1290,98,13.89,82.18,"United States","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","1545326X; 00664219","1545326X","00664219"
"63",138,"Trends in Neurosciences","journal",7.27,"Q1",254,84,264,6905,2641,228,10.28,82.2,"Netherlands","Neuroscience (miscellaneous) (Q1)","01662236","01662236",""
"64",141,"Current Opinion in Cell Biology","journal",7.266,"Q1",235,104,340,6982,3051,311,10.79,67.13,"Netherlands","Cell Biology (Q1)","09550674","09550674",""
"65",147,"American Journal of Human Genetics","journal",7.143,"Q1",266,245,616,9620,5126,553,8.67,39.27,"United States","Genetics (Q1); Genetics (clinical) (Q1)","15376605; 00029297","15376605","00029297"
"66",150,"Cold Spring Harbor perspectives in biology","journal",7.041,"Q1",99,85,506,12862,4337,499,7.91,151.32,"United States","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)","19430264","19430264",""
"67",154,"Molecular Psychiatry","journal",6.917,"Q1",180,328,652,13379,5810,465,11.76,40.79,"United Kingdom","Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)","14765578; 13594184","14765578","13594184"
"68",156,"European Heart Journal","journal",6.897,"Q1",244,673,2157,16718,15901,1397,11.58,24.84,"United Kingdom","Cardiology and Cardiovascular Medicine (Q1)","15229645; 0195668X","15229645","0195668X"
"69",157,"JAMA - Journal of the American Medical Association","journal",6.866,"Q1",582,1497,4333,15435,28729,2249,13.82,10.31,"United States","Medicine (miscellaneous) (Q1)","00987484","00987484",""
"70",159,"Gut","journal",6.799,"Q1",239,467,1031,10224,8442,592,13.85,21.89,"United Kingdom","Gastroenterology (Q1)","00175749; 14683288","00175749","14683288"
"71",161,"Journal of Cell Biology","journal",6.761,"Q1",336,338,1074,14495,7280,877,7.39,42.88,"United States","Cell Biology (Q1); Medicine (miscellaneous) (Q1)","00219525","00219525",""
"72",163,"JAMA Internal Medicine","journal",6.684,"Q1",291,665,2122,7862,8321,685,12.41,11.82,"United States","Internal Medicine (Q1)","21686106; 21686114","21686106","21686114"
"73",164,"EMBO Journal","journal",6.57,"Q1",352,223,838,11775,5930,793,7.05,52.8,"Germany","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)","14602075; 02614189","14602075","02614189"
"74",165,"Gastroenterology","journal",6.527,"Q1",345,591,1813,15018,12685,984,13.09,25.41,"United Kingdom","Gastroenterology (Q1)","15280012; 00165085","15280012","00165085"
"75",167,"Acta Neuropathologica","journal",6.472,"Q1",129,129,448,8112,4180,354,12,62.88,"Germany","Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)","14320533; 00016322","14320533","00016322"
"76",169,"Immunological Reviews","journal",6.4,"Q1",190,112,339,15328,3053,328,9.33,136.86,"United Kingdom","Immunology (Q1); Immunology and Allergy (Q1)","01052896; 1600065X","01052896","1600065X"
"77",170,"Nature Communications","journal",6.399,"Q1",169,3633,7866,178764,92426,7596,11.53,49.21,"United Kingdom","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)","20411723","20411723",""
"78",175,"Proceedings of the National Academy of Sciences of the United States of America","journal",6.321,"Q1",648,3799,12882,166213,109677,11113,9.34,43.75,"United States","Multidisciplinary (Q1)","00278424; 10916490","00278424","10916490"
"79",178,"The Lancet Respiratory Medicine","journal",6.304,"Q1",53,243,889,4906,3812,268,15,20.19,"United Kingdom","Pulmonary and Respiratory Medicine (Q1)","22132600","22132600",""
"80",180,"Microbiome","journal",6.225,"Q1",29,58,96,3018,1011,90,10.17,52.03,"United Kingdom","Microbiology (Q1); Microbiology (medical) (Q1)","20492618","20492618",""
"81",182,"Endocrine Reviews","journal",6.153,"Q1",243,24,87,5483,1205,78,15.18,228.46,"United States","Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)","0163769X","0163769X",""
"82",189,"Biological Psychiatry","journal",6.035,"Q1",273,382,982,14362,7230,657,10.21,37.6,"Netherlands","Biological Psychiatry (Q1)","00063223","00063223",""
"83",191,"American Journal of Respiratory and Critical Care Medicine","journal",6.009,"Q1",321,632,1992,14997,10521,897,10.44,23.73,"United States","Critical Care and Intensive Care Medicine (Q1); Pulmonary and Respiratory Medicine (Q1)","1073449X; 15354970","1073449X","15354970"
"84",192,"eLife","journal",5.984,"Q1",61,1205,2423,70842,13158,2251,5.51,58.79,"United Kingdom","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)","2050084X","2050084X",""
"85",194,"PLoS Medicine","journal",5.951,"Q1",172,247,598,9725,5188,550,8.22,39.37,"United States","Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)","15491676; 15491277","15491676","15491277"
"86",199,"Blood","journal",5.842,"Q1",394,896,4075,25621,28147,3128,8.84,28.59,"United States","Biochemistry (Q1); Cell Biology (Q1); Hematology (Q1); Immunology (Q1)","00064971; 15280020","00064971","15280020"
"87",206,"Circulation Research","journal",5.735,"Q1",289,385,1193,23975,9567,893,11.6,62.27,"United States","Cardiology and Cardiovascular Medicine (Q1); Physiology (Q1)","15244571; 00097330","15244571","00097330"
"88",211,"Human Reproduction Update","journal",5.669,"Q1",141,56,196,8004,1969,161,12.5,142.93,"United Kingdom","Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1)","13554786; 14602369","13554786","14602369"
"89",216,"Seminars in Immunology","journal",5.611,"Q1",105,65,177,7170,1548,158,10.07,110.31,"United States","Immunology (Q1); Immunology and Allergy (Q1)","10445323; 10963618","10445323","10963618"
"90",222,"Current Opinion in Immunology","journal",5.484,"Q1",170,106,338,6510,2502,299,9.12,61.42,"Netherlands","Immunology (Q1); Immunology and Allergy (Q1)","09527915","09527915",""
"91",224,"Brain","journal",5.472,"Q1",284,372,1153,15766,8364,814,9.98,42.38,"United Kingdom","Arts and Humanities (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)","14602156; 00068950","14602156","00068950"
"92",229,"Diabetes Care","journal",5.39,"Q1",309,487,2023,13892,15026,1403,11.62,28.53,"United States","Advanced and Specialized Nursing (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)","01495992","01495992",""
"93",231,"Annals of Neurology","journal",5.339,"Q1",258,244,759,8001,5298,546,9.51,32.79,"United States","Neurology (Q1); Neurology (clinical) (Q1)","03645134; 15318249","03645134","15318249"
"94",232,"American Journal of Psychiatry","journal",5.333,"Q1",308,246,761,5562,4280,439,8.79,22.61,"United States","Arts and Humanities (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)","0002953X","0002953X",""
"95",233,"Journal of Allergy and Clinical Immunology","journal",5.33,"Q1",240,733,1809,20866,11603,956,12.02,28.47,"United States","Immunology (Q1); Immunology and Allergy (Q1)","10976825; 00916749","10976825","00916749"
"96",241,"Critical Reviews in Biochemistry and Molecular Biology","journal",5.245,"Q1",90,35,95,4971,754,94,6.54,142.03,"United Kingdom","Biochemistry (Q1); Molecular Biology (Q1)","10409238; 15497798","10409238","15497798"
"97",242,"Trends in Pharmacological Sciences","journal",5.218,"Q1",191,100,290,8367,2686,224,12.08,83.67,"Netherlands","Pharmacology (Q1); Toxicology (Q1)","01656147","01656147",""
"98",244,"Molecular Aspects of Medicine","journal",5.188,"Q1",105,46,144,5953,1440,133,5.65,129.41,"United Kingdom","Biochemistry (Q1); Clinical Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1)","00982997","00982997",""
"99",245,"PLoS Genetics","journal",5.182,"Q1",166,686,2662,44738,15702,2525,5.63,65.22,"United States","Cancer Research (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)","15537404; 15537390","15537404","15537390"
"100",247,"Cell Research","journal",5.164,"Q1",123,159,534,5599,3789,391,10.04,35.21,"United States","Cell Biology (Q1); Molecular Biology (Q1)","10010602","10010602",""
"101",256,"Nature Reviews Neurology","journal",5.034,"Q1",104,225,867,8184,3610,319,11.06,36.37,"United Kingdom","Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)","17594758; 17594766","17594758","17594766"
"102",257,"Trends in Endocrinology and Metabolism","journal",5.006,"Q1",135,95,257,6733,2182,229,9.6,70.87,"Netherlands","Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)","10432760","10432760",""
"103",260,"Hepatology","journal",4.978,"Q1",306,679,1894,14057,13835,1344,10.51,20.7,"United States","Hepatology (Q1); Medicine (miscellaneous) (Q1)","02709139; 15273350","02709139","15273350"
"104",262,"Annual Review of Nutrition","book serie",4.941,"Q1",133,25,56,3884,550,56,9.7,155.36,"United States","Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)","01999885; 15454312","01999885","15454312"
"105",263,"Leukemia","journal",4.929,"Q1",165,401,1175,12562,7341,674,11.21,31.33,"United Kingdom","Anesthesiology and Pain Medicine (Q1); Cancer Research (Q1); Hematology (Q1)","08876924","08876924",""
"106",268,"International Journal of Epidemiology","journal",4.914,"Q1",161,163,792,5154,3795,510,6.53,31.62,"United Kingdom","Epidemiology (Q1)","03005771","03005771",""
"107",270,"Development (Cambridge)","journal",4.848,"Q1",286,463,1437,28026,8101,1365,5.65,60.53,"United Kingdom","Developmental Biology (Q1); Molecular Biology (Q1)","09501991; 14779129","09501991","14779129"
"108",273,"EMBO Molecular Medicine","journal",4.84,"Q1",69,116,417,5618,3198,376,8,48.43,"United Kingdom","Molecular Medicine (Q1)","17574684; 17574676","17574684","17574676"
"109",275,"Journal of Hepatology","journal",4.796,"Q1",195,464,1475,18918,10618,999,10.91,40.77,"Netherlands","Hepatology (Q1)","16000641; 01688278","16000641","01688278"
"110",276,"Trends in Molecular Medicine","journal",4.789,"Q1",148,111,265,7696,2322,234,9.94,69.33,"Netherlands","Molecular Biology (Q1); Molecular Medicine (Q1)","14714914","14714914",""
"111",278,"PLoS Biology","journal",4.776,"Q1",200,269,906,14283,5408,844,6.46,53.1,"United States","Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)","15449173; 15457885","15449173","15457885"
"112",279,"ISME Journal","journal",4.771,"Q1",108,259,733,15164,6264,660,8.72,58.55,"United Kingdom","Ecology, Evolution, Behavior and Systematics (Q1); Microbiology (Q1)","17517362; 17517370","17517362","17517370"
"113",282,"Cancer Research","journal",4.753,"Q1",390,805,1977,30963,16769,1879,8.23,38.46,"United States","Cancer Research (Q1); Oncology (Q1)","00085472","00085472",""
"114",288,"Diabetes","journal",4.717,"Q1",286,422,1572,15548,9717,1185,7.8,36.84,"United States","Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)","00121797","00121797",""
"115",292,"Clinical Cancer Research","journal",4.689,"Q1",272,714,2172,27533,17981,1989,8.71,38.56,"United States","Cancer Research (Q1); Oncology (Q1)","10780432","10780432",""
"116",295,"Journal of Neuroscience","journal",4.682,"Q1",397,1141,4979,63414,29524,4719,5.97,55.58,"United States","Neuroscience (miscellaneous) (Q1)","15292401; 02706474","15292401","02706474"
"117",299,"Science signaling","journal",4.632,"Q1",118,426,1666,9686,3914,630,5.5,22.74,"United States","Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)","19450877; 19379145","19450877","19379145"
"118",303,"Advances in Immunology","book serie",4.622,"Q1",91,29,76,4420,484,60,7.92,152.41,"United States","Immunology (Q1); Immunology and Allergy (Q1)","00652776","00652776",""
"119",304,"The Lancet Psychiatry","journal",4.618,"Q1",27,299,451,6805,1416,133,10.65,22.76,"United Kingdom","Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)","22150366","22150366",""
"120",308,"Progress in Lipid Research","journal",4.59,"Q1",117,43,91,8507,1052,89,10.79,197.84,"United Kingdom","Biochemistry (Q1); Cell Biology (Q1)","01637827","01637827",""
"121",311,"Circulation. Heart failure","journal",4.545,"Q1",72,158,483,4505,2740,408,5.94,28.51,"United States","Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1)","19413289; 19413297","19413289","19413297"
"122",313,"Seminars in Cancer Biology","journal",4.528,"Q1",123,65,212,6744,1773,187,9.46,103.75,"United States","Cancer Research (Q1)","1044579X; 10963650","1044579X","10963650"
"123",314,"Neuroscience and Biobehavioral Reviews","journal",4.52,"Q1",189,361,693,47823,6129,640,8.85,132.47,"United Kingdom","Behavioral Neuroscience (Q1); Cognitive Neuroscience (Q1); Neuropsychology and Physiological Psychology (Q1)","01497634","01497634",""
"124",321,"PLoS Pathogens","journal",4.466,"Q1",145,686,2349,41634,15049,2229,6.18,60.69,"United States","Genetics (Q1); Immunology (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)","15537366; 15537374","15537366","15537374"
"125",323,"Cancer Discovery","journal",4.455,"Q1",83,178,1562,5540,5381,803,6.96,31.12,"United States","Oncology (Q1)","21598290; 21598274","21598290","21598274"
"126",324,"Clinical Infectious Diseases","journal",4.441,"Q1",278,672,2604,17018,12659,1639,7.29,25.32,"United States","Infectious Diseases (Q1); Microbiology (medical) (Q1)","10584838; 15376591","10584838","15376591"
"127",325,"Nature Reviews Endocrinology","journal",4.424,"Q1",96,214,813,8143,2929,317,9.97,38.05,"United Kingdom","Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)","17595037; 17595029","17595037","17595029"
"128",327,"Trends in Microbiology","journal",4.414,"Q1",160,123,334,7058,2406,288,8.19,57.38,"Netherlands","Infectious Diseases (Q1); Microbiology (Q1); Microbiology (medical) (Q1); Virology (Q1)","0966842X","0966842X",""
"129",328,"Mucosal Immunology","journal",4.368,"Q1",68,135,368,7116,2330,350,6.63,52.71,"United Kingdom","Immunology (Q1); Immunology and Allergy (Q1)","19330219; 19353456","19330219","19353456"
"130",330,"Journal of the American Society of Nephrology : JASN","journal",4.356,"Q1",237,136,891,5033,5870,741,7.6,37.01,"United States","Medicine (miscellaneous) (Q1); Nephrology (Q1)","15333450; 10466673","15333450","10466673"
